Datetime,Close,High,Low,Open,Volume
2025-05-06 00:00:00+00:00,94746.0390625,94746.0390625,94746.0390625,94746.0390625,0
2025-05-06 00:01:00+00:00,94743.0703125,94743.0703125,94743.0703125,94743.0703125,0
2025-05-06 00:02:00+00:00,94730.609375,94730.609375,94730.609375,94730.609375,0
2025-05-06 00:03:00+00:00,94730.3125,94730.3125,94730.3125,94730.3125,915206144
2025-05-06 00:04:00+00:00,94709.9921875,94709.9921875,94709.9921875,94709.9921875,3278848
2025-05-06 00:05:00+00:00,94712.1640625,94712.1640625,94712.1640625,94712.1640625,0
2025-05-06 00:07:00+00:00,94717.34375,94717.34375,94717.34375,94717.34375,0
2025-05-06 00:08:00+00:00,94729.9609375,94729.9609375,94729.9609375,94729.9609375,646879232
2025-05-06 00:09:00+00:00,94743.5546875,94743.5546875,94743.5546875,94743.5546875,271618048
2025-05-06 00:11:00+00:00,94695.4375,94695.4375,94695.4375,94695.4375,0
2025-05-06 00:13:00+00:00,94651.53125,94651.53125,94651.53125,94651.53125,0
2025-05-06 00:14:00+00:00,94671.625,94671.625,94671.625,94671.625,0
2025-05-06 00:15:00+00:00,94680.3203125,94680.3203125,94680.3203125,94680.3203125,0
2025-05-06 00:17:00+00:00,94637.421875,94637.421875,94637.421875,94637.421875,24541184
2025-05-06 00:18:00+00:00,94640.9921875,94640.9921875,94640.9921875,94640.9921875,0
2025-05-06 00:19:00+00:00,94585.703125,94585.703125,94585.703125,94585.703125,0
2025-05-06 00:20:00+00:00,94578.5390625,94578.5390625,94578.5390625,94578.5390625,0
2025-05-06 00:22:00+00:00,94595.375,94595.375,94595.375,94595.375,262770688
2025-05-06 00:24:00+00:00,94601.2265625,94601.2265625,94601.2265625,94601.2265625,0
2025-05-06 00:25:00+00:00,94594.8984375,94594.8984375,94594.8984375,94594.8984375,47368192
2025-05-06 00:26:00+00:00,94614.59375,94614.59375,94614.59375,94614.59375,0
2025-05-06 00:27:00+00:00,94628.640625,94628.640625,94628.640625,94628.640625,870608896
2025-05-06 00:29:00+00:00,94688.5390625,94688.5390625,94688.5390625,94688.5390625,0
2025-05-06 00:30:00+00:00,94709.359375,94709.359375,94709.359375,94709.359375,0
2025-05-06 00:32:00+00:00,94711.5,94711.5,94711.5,94711.5,150466560
2025-05-06 00:33:00+00:00,94658.53125,94658.53125,94658.53125,94658.53125,223248384
